question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Ponto do meio,Médio,10.646195160000389,1349,0.003238,AC,0.04111127600026521,31,0,0,0,0,31
Ogro_2024,Fácil,10.050545110000712,1346,0.0034519999999999998,AC,0.04936907999945106,20,0,0,0,0,20
Pirâmide_2022,Médio,9.177327405999677,1505,0.00406,WA,0.053448703999492864,1,38,0,0,0,39
Game-10,Fácil,13.61388688399984,1466,0.003642,AC,0.05888538699946366,46,0,0,0,0,46
Restaurante de pizza,Fácil,12.024624304000099,1489,0.004118,AC,0.07137836200035963,60,0,0,0,0,60
Zip,Fácil,13.235636984999473,1558,0.005226,AC,0.05424293299984129,40,0,0,0,0,40
Consecutivos,Fácil,15.862602488999983,1425,0.00463,AC,0.10795699299978878,50,0,0,0,0,50
Dança de Formatura,Médio,41.807760393000535,2297,0.006984,AC,2.185990266999397,55,0,0,0,0,55
Estrada,Médio,38.62115229899973,1495,0.005,AC,0.04443820600045001,30,0,0,0,0,30
Duplas de tênis,Fácil,11.354100886000197,1267,0.003384,AC,0.06337356600033672,40,0,0,0,0,40
Show,Médio,18.935419756000556,1699,0.005788,AC,0.04544156199972349,25,0,0,0,0,25
Loteria,Fácil,9.981971945000623,1452,0.004144,AC,0.04832182400059537,39,0,0,0,0,39
Cubo Preto,Fácil,20.74376617100006,1377,0.0035639999999999995,AC,0.02599589800047397,11,0,0,0,0,11
Robô,Fácil,17.04545337200034,1731,0.004792,AC,0.05541328199979034,50,0,0,0,0,50
Etiquetas,Difícil,81.61527366800055,1682,0.007774,AC,1.1168691889997717,61,0,0,0,0,61
Campeonato,Fácil,10.054107711000142,1502,0.004794,AC,0.05968264700004511,50,0,0,0,0,50
Dominó_2001,Médio,29.01476728600028,1775,0.00826,AC,0.03775731700079632,10,0,0,0,0,10
Reduzindo detalhes em um mapa,Médio,25.08508572000028,1733,0.006706,AC,0.7246950769995237,52,0,0,0,0,52
Caminho das Pontes,Médio,13.589846978000423,2106,0.007242,RE,0.03898637500060431,0,0,1,0,0,1
Botas Trocadas,Fácil,11.144138001000101,1485,0.004880000000000001,AC,0.06657516399991437,28,0,0,0,0,28
VAR,Fácil,10.329304908999802,1370,0.00356,AC,0.04465894299937645,41,0,0,0,0,41
Dona Lesma,Fácil,15.770700935000605,1306,0.003682,AC,0.03894316400055686,20,0,0,0,0,20
Frequencia na aula,Fácil,14.617665423999824,1336,0.003352,AC,0.5929641620004986,100,0,0,0,0,100
Salada de Frutas,Fácil,18.13830640499964,1705,0.0052,AC,0.05305098999997426,28,0,0,0,0,28
Ciclovias,Médio,141.45144730599986,1919,0.007418,AC,2.599282539000342,40,0,0,0,0,40
Pulo do Gato,Médio,19.96620712299955,1734,0.005887999999999999,WA,0.16545547999976407,9,38,0,0,0,47
Semente,Médio,13.695294473000104,1407,0.004394,AC,0.06143969499953528,40,0,0,0,0,40
Vice-campeão,Fácil,6.528604066999833,1248,0.003026,AC,0.044868328999655205,30,0,0,0,0,30
Tanque de combustível,Fácil,13.04573399400033,1467,0.0037739999999999996,AC,0.04805894999935845,20,0,0,0,0,20
