question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Ogro_2024,Fácil,4.942481726000551,1648,0.0,AC,0.0481181599898263,20,0,0,0,0,20
Pirâmide_2022,Médio,24.82717894599773,3777,0.0,WA,0.066343771002721,1,38,0,0,0,39
Game-10,Fácil,19.218735239002854,2697,0.0,AC,0.0513640380231663,46,0,0,0,0,46
Restaurante de pizza,Fácil,46.84844608799904,5285,0.0,AC,0.0603768840082921,60,0,0,0,0,60
Zip,Fácil,10.950447177980095,1962,0.0,AC,0.0498947650194168,40,0,0,0,0,40
Consecutivos,Fácil,9.517032502015354,1949,0.0,AC,0.0993991089926566,50,0,0,0,0,50
Dança de Formatura,Médio,59.35019575097249,7542,0.0,AC,1.9787461780069864,55,0,0,0,0,55
Estrada,Médio,58.16250874698744,6034,0.0,AC,0.0600548689835704,30,0,0,0,0,30
Duplas de tênis,Fácil,14.505560651014092,2544,0.0,AC,0.0495711720141116,40,0,0,0,0,40
Show,Médio,26.22356832501828,3532,0.0,AC,0.0519995590148028,25,0,0,0,0,25
Loteria,Fácil,29.431005371006904,3535,0.0,AC,0.0550994320074096,39,0,0,0,0,39
Cubo Preto,Fácil,12.42071593098808,2450,0.0,AC,0.0280672450026031,11,0,0,0,0,11
Robô,Fácil,271.82015426797443,26732,0.0,AC,0.0658522800076752,50,0,0,0,0,50
Etiquetas,Difícil,318.8312852169911,34246,0.0,AC,0.6117360710049979,61,0,0,0,0,61
Campeonato,Fácil,10.536845076014288,1887,0.0,AC,0.067484829982277,50,0,0,0,0,50
Dominó_2001,Médio,80.72627991301124,9187,0.0,AC,0.0432384139858186,10,0,0,0,0,10
Reduzindo detalhes em um mapa,Médio,24.21872927399818,3622,0.0,AC,0.5846438780135941,52,0,0,0,0,52
Caminho das Pontes,Médio,21.55489784598467,3946,0.0,RE,0.0399028410029131,0,0,1,0,0,1
Botas Trocadas,Fácil,10.191246660018804,2134,0.0,AC,0.0582823370059486,28,0,0,0,0,28
VAR,Fácil,50.69972971800598,5884,0.0,AC,0.1195075690047815,41,0,0,0,0,41
