question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
VAR,Fácil,1.207210385997314,854,0.00188,WA,0.061130349000450224,40,1,0,0,0,41
Computador,Difícil,4.336800378005137,1465,0.004826,WA,1.0602791640048963,0,42,0,0,0,42
Pulo do Gato,Médio,1.6755203560023801,1162,0.003008,RE,0.12750578499981202,0,0,47,0,0,47
Semente,Fácil,1.8882435750056175,960,0.00258,AC,0.05709220100106904,40,0,0,0,0,40
Álbum de fotos,Médio,2.8805890059957164,1038,0.003,AC,0.05868021200149087,57,0,0,0,0,57
Toca do Saci,Médio,4.257733908998489,1553,0.00455,TLE,15.0,2,1,0,48,0,51
Caminhos do reino,Difícil,59.26104315699922,10443,0.057346,RE,0.10650342000008095,0,0,40,0,0,40
Cartas,Fácil,1.0324519440036966,726,0.001624,AC,0.04472020299726864,30,0,0,0,0,30
Flíper,Fácil,0.9437586800049758,763,0.001702,AC,0.028988230995310005,15,0,0,0,0,15
Avião,Médio,1.554555722999794,1302,0.0032760000000000003,AC,0.0477089940031874,32,0,0,0,0,32
Medalhas,Fácil,1.2025476080016233,874,0.002056,AC,0.07195884500106331,69,0,0,0,0,69
Elevador_2018,Fácil,3.7887737530036247,1463,0.0047220000000000005,WA,0.06973395599925425,14,10,0,0,0,24
Cubra os Furos,Médio,2.2633099390004645,1156,0.0034,WA,0.21283267399849137,0,9,1,0,0,10
Carro elétrico,Difícil,5.684614498000883,1697,0.005914,WA,0.3233577599967248,5,14,0,0,0,19
Dario e Xerxes,Fácil,1.6310166269977344,921,0.002426,AC,0.036940391997632105,22,0,0,0,0,22
Quadrado Aritmético,Difícil,2.471610915999918,1388,0.003704,WA,0.37725062599929515,3,19,0,0,0,22
O Tabuleiro Esburacado,Fácil,2.121035956995911,1171,0.0031019999999999997,WA,0.034432275002473034,2,18,0,0,0,20
Retas,Médio,5.872025226002734,1820,0.006288,RE,0.1355903590010712,0,0,43,0,0,43
Viagem,Difícil,3.3027025060000597,1750,0.005024000000000001,AC,0.1139523219972034,28,0,0,0,0,28
Soma,Médio,1.7200835220064619,955,0.002526,AC,1.0588348570017843,46,0,0,0,0,46
Estoque,Fácil,1.9168846190004842,1295,0.003274,AC,0.07149588500033133,23,0,0,0,0,23
Frete,Médio,2.4974651550001,1243,0.0034019999999999996,AC,0.05038733200490242,35,0,0,0,0,35
Caçadores de Mitos,Fácil,1.9975543270047638,1174,0.00286,AC,0.6319196840049699,20,0,0,0,0,20
Linhas Cruzadas,Médio,2.5065089900017483,934,0.0026,AC,0.43108782999479445,40,0,0,0,0,40
Bolas,Fácil,1.3285105819959426,751,0.00183,AC,0.03736989299795823,19,0,0,0,0,19
Xadrez Aleatório,Médio,1.8232794079958694,930,0.0024920000000000003,WA,0.17978854900138685,1,56,0,0,0,57
Bombom,Fácil,2.522786196997913,1130,0.003308,WA,0.06808633300533984,37,13,0,0,0,50
Câmara de Compensação,Difícil,3.4159465369957616,1768,0.004896,WA,7.767994262001594,0,28,0,0,0,28
Taxa,Difícil,4.051430050996714,1508,0.004359999999999999,WA,3.329190952994395,2,34,0,0,0,36
Atlanta,Fácil,2.681575797003461,1022,0.0030359999999999996,WA,0.052032159997907,12,28,0,0,0,40
Fuga com helicóptero,Fácil,1.6913196239984245,927,0.002362,AC,0.09383096400415525,74,0,0,0,0,74
Pirâmide,Fácil,1.0784070800000336,991,0.002294,WA,0.04456859900528798,1,38,0,0,0,39
Wifi,Difícil,140.55239094100398,17614,0.10168,RE,0.11222874800296267,0,0,22,0,0,22
Fitas Verde-amarelas,Difícil,27.856710765998287,4141,0.01877,TLE,15.0,48,10,0,2,0,60
Retângulo,Difícil,3.662528407003265,1138,0.0036279999999999997,WA,0.2686655579964281,33,2,0,0,0,35
Copa do Mundo,Médio,3.9496213919992442,1315,0.004254,WA,0.05702052100241417,13,37,0,0,0,50
